station,valid,lon,lat,tmpc,drct,sknt
FTW,2011-02-01 00:00,-97.3624,32.8198,8.00,20.00,11.00
RFI,2011-02-01 00:00,-94.8517,32.1417,15.50,100.00,5.00
GVT,2011-02-01 00:00,-96.0653,33.0678,12.00,50.00,6.00
BKD,2011-02-01 00:00,-98.8910,32.7190,8.60,60.00,13.00
MWL,2011-02-01 00:00,-98.0602,32.7816,8.00,30.00,9.00
MKN,2011-02-01 00:00,-98.6000,31.9200,13.00,20.00,11.00
DYS,2011-02-01 00:00,-99.8550,32.4210,10.00,30.00,17.00
RKP,2011-02-01 00:00,-97.0464,28.0836,19.00,120.00,10.00
GGG,2011-02-01 00:01,-94.7115,32.3840,16.00,110.00,7.00
EFD,2011-02-01 00:01,-95.1587,29.6073,16.00,90.00,8.00
OZA,2011-02-01 00:02,-101.2030,30.7353,21.40,200.00,11.00
ARM,2011-02-01 00:02,-96.1544,29.2543,21.00,120.00,8.00
5C1,2011-02-01 00:02,-98.6946,29.7239,21.00,150.00,11.00
COM,2011-02-01 00:03,-99.4036,31.8411,12.60,40.00,18.00
6R3,2011-02-01 00:03,-95.0080,30.3564,19.10,130.00,6.00
F05,2011-02-01 00:04,-99.2837,34.2257,3.20,20.00,20.00
GLE,2011-02-01 00:04,-97.1969,33.6514,10.00,70.00,6.00
LBR,2011-02-01 00:04,-95.0636,33.5932,12.30,40.00,3.00
HRX,2011-02-01 00:04,-102.3264,34.8578,-4.00,40.00,18.00
SGR,2011-02-01 00:04,-95.6565,29.6223,19.00,150.00,11.00
JXI,2011-02-01 00:05,-94.9500,32.7000,15.00,110.00,4.00
XBP,2011-02-01 00:05,-97.8284,33.1753,8.00,60.00,4.00
LHB,2011-02-01 00:05,-96.6200,30.8700,21.00,110.00,3.00
OSA,2011-02-01 00:05,-94.9614,33.0956,12.50,30.00,3.00
CWC,2011-02-01 00:05,-98.4904,33.8578,5.60,20.00,15.00
AQO,2011-02-01 00:05,-98.6619,30.7836,22.00,160.00,6.00
CPT,2011-02-01 00:05,-97.4338,32.3537,14.00,40.00,9.00
GNC,2011-02-01 00:05,-102.6527,32.6753,6.60,50.00,23.00
INJ,2011-02-01 00:05,-97.0972,32.0836,15.00,60.00,9.00
PPA,2011-02-01 00:05,-100.9963,35.6130,-6.00,30.00,16.00
T82,2011-02-01 00:05,-98.9092,30.2432,19.80,null,null
ERV,2011-02-01 00:05,-99.0855,29.9767,20.50,120.00,9.00
RPH,2011-02-01 00:05,-98.5550,33.1100,7.70,30.00,8.00
3T5,2011-02-01 00:05,-96.9500,29.9100,22.10,150.00,8.00
AXH,2011-02-01 00:05,-95.4769,29.5061,18.70,120.00,8.00
TFP,2011-02-01 00:05,-97.2115,27.9130,20.10,120.00,11.00
DZB,2011-02-01 00:05,-98.3588,30.5271,21.60,160.00,5.00
LNC,2011-02-01 00:05,-96.7190,32.5792,13.00,40.00,5.00
ECU,2011-02-01 00:05,-100.1739,29.9469,21.00,140.00,8.00
DUX,2011-02-01 00:05,-102.0130,35.8580,-6.30,20.00,12.00
JDD,2011-02-01 00:05,-95.4965,32.7422,13.00,null,null
PEQ,2011-02-01 00:05,-103.5100,31.3800,21.00,30.00,4.00
E38,2011-02-01 00:05,-103.6840,30.3840,16.30,210.00,10.00
DKR,2011-02-01 00:05,-95.4038,31.3070,17.00,90.00,6.00
JAS,2011-02-01 00:05,-94.0349,30.8857,19.10,130.00,4.00
GYB,2011-02-01 00:05,-96.9800,30.1700,21.50,150.00,6.00
PVW,2011-02-01 00:05,-101.7173,34.1681,-1.10,60.00,20.00
0F2,2011-02-01 00:05,-97.7756,33.6017,9.00,360.00,5.00
BBD,2011-02-01 00:05,-99.3239,31.1793,21.00,150.00,13.00
BEA,2011-02-01 00:05,-97.7910,28.3619,20.50,140.00,11.00
GDJ,2011-02-01 00:05,-97.8169,32.4444,10.00,10.00,8.00
MDD,2011-02-01 00:05,-102.1010,32.0365,20.60,null,null
SLR,2011-02-01 00:05,-95.6200,33.1600,12.70,40.00,3.00
CVB,2011-02-01 00:05,-98.8509,29.3419,22.50,130.00,13.00
LUD,2011-02-01 00:05,-97.5805,33.2542,7.40,50.00,7.00
GYI,2011-02-01 00:05,-96.6737,33.7141,10.00,60.00,4.00
RWV,2011-02-01 00:05,-96.7041,30.5155,21.00,130.00,7.00
11R,2011-02-01 00:05,-96.3742,30.2189,22.00,140.00,10.00
SWW,2011-02-01 00:05,-100.4666,32.4674,8.30,30.00,15.00
SEP,2011-02-01 00:05,-98.1777,32.2153,8.00,20.00,9.00
BPC,2011-02-01 00:05,-101.0301,35.8893,-5.00,20.00,15.00
SOA,2011-02-01 00:05,-100.6486,30.5857,22.00,170.00,11.00
GOP,2011-02-01 00:05,-97.7970,31.4213,17.00,90.00,4.00
ORG,2011-02-01 00:05,-93.8036,30.0692,17.00,null,null
RYW,2011-02-01 00:06,-97.9659,30.4967,21.00,110.00,6.00
BPG,2011-02-01 00:06,-101.5216,32.2126,12.10,30.00,26.00
