station,valid,lon,lat,tmpc
ABI,2017-12-07 00:00,-99.6821,32.4106,null
ACT,2017-12-07 00:00,-97.2283,31.6180,null
AFW,2017-12-07 00:00,-97.3179,32.9716,null
ALI,2017-12-07 00:00,-98.0269,27.7409,null
AMA,2017-12-07 00:00,-101.7059,35.2194,null
AUS,2017-12-07 00:00,-97.6699,30.1945,null
BAZ,2017-12-07 00:00,-98.0450,29.7090,null
BGD,2017-12-07 00:00,-101.3937,35.7009,null
BMQ,2017-12-07 00:00,-98.2386,30.7389,null
BPT,2017-12-07 00:00,-94.0200,29.9500,null
BRO,2017-12-07 00:00,-97.4231,25.9146,null
CDS,2017-12-07 00:00,-100.2881,34.4339,null
CLL,2017-12-07 00:00,-96.3639,30.5881,null
COT,2017-12-07 00:00,-99.2183,28.4567,null
CRS,2017-12-07 00:00,-96.4000,32.0300,null
CXO,2017-12-07 00:00,-95.4145,30.3524,null
DAL,2017-12-07 00:00,-96.8518,32.8471,null
DFW,2017-12-07 00:00,-97.0380,32.8968,null
DHT,2017-12-07 00:00,-102.5473,36.0226,null
DRT,2017-12-07 00:00,-100.9272,29.3742,null
DTO,2017-12-07 00:00,-97.1989,33.2061,null
DWH,2017-12-07 00:00,-95.5562,30.0680,null
ELP,2017-12-07 00:00,-106.3758,31.8111,null
FST,2017-12-07 00:00,-102.9167,30.9119,null
FTW,2017-12-07 00:00,-97.3624,32.8198,null
GGG,2017-12-07 00:00,-94.7115,32.3840,null
GKY,2017-12-07 00:00,-97.0943,32.6639,null
GLS,2017-12-07 00:00,-94.8604,29.2653,null
GTU,2017-12-07 00:00,-97.6767,30.6808,null
GZN,2017-12-07 00:00,-99.0237,32.3658,8.00
HDO,2017-12-07 00:00,-99.1742,29.3594,null
HOU,2017-12-07 00:00,-95.2824,29.6375,null
HRL,2017-12-07 00:00,-97.6544,26.2285,null
HYI,2017-12-07 00:00,-97.8630,29.8927,null
IAH,2017-12-07 00:00,-95.3414,29.9844,null
ILE,2017-12-07 00:00,-97.6865,31.0858,null
INK,2017-12-07 00:00,-103.2000,31.7800,null
JCT,2017-12-07 00:00,-99.7664,30.5108,null
LBB,2017-12-07 00:00,-101.8228,33.6636,null
LBX,2017-12-07 00:00,-95.4621,29.1086,null
LFK,2017-12-07 00:00,-94.7500,31.2340,null
LRD,2017-12-07 00:00,-99.4615,27.5438,null
LVJ,2017-12-07 00:00,-95.2400,29.5200,null
MAF,2017-12-07 00:00,-102.2075,31.9466,null
MRF,2017-12-07 00:00,-104.0200,30.3700,null
MWL,2017-12-07 00:00,-98.0602,32.7816,null
OCH,2017-12-07 00:00,-94.7094,31.5778,null
ODO,2017-12-07 00:00,-102.3867,31.9206,null
PIL,2017-12-07 00:00,-97.3378,26.1597,null
PRX,2017-12-07 00:00,-95.4507,33.6366,null
PSX,2017-12-07 00:00,-96.2500,28.7300,null
PWG,2017-12-07 00:00,-97.3165,31.4849,null
RBD,2017-12-07 00:00,-96.8700,32.6800,null
RKP,2017-12-07 00:00,-97.0464,28.0836,null
RND,2017-12-07 00:00,-98.2800,29.5300,5.00
SAT,2017-12-07 00:00,-98.4698,29.5337,null
SGR,2017-12-07 00:00,-95.6565,29.6223,null
SJT,2017-12-07 00:00,-100.4950,31.3517,null
SPS,2017-12-07 00:00,-98.4928,33.9786,null
SSF,2017-12-07 00:00,-98.4711,29.3370,null
TKI,2017-12-07 00:00,-96.5900,33.1800,null
