station,valid,lon,lat,tmpc,drct,sknt
GVT,2011-02-05 00:00,-96.0653,33.0678,-5.00,260.00,4.00
MKN,2011-02-05 00:00,-98.6000,31.9200,0.00,270.00,6.00
RFI,2011-02-05 00:00,-94.8517,32.1417,-2.20,0.00,null
OZA,2011-02-05 00:02,-101.2030,30.7353,4.60,300.00,11.00
GLE,2011-02-05 00:03,-97.1969,33.6514,-4.00,260.00,3.00
LBR,2011-02-05 00:04,-95.0636,33.5932,-2.20,250.00,4.00
RWV,2011-02-05 00:05,-96.7041,30.5155,1.00,300.00,7.00
SOA,2011-02-05 00:05,-100.6486,30.5857,4.00,290.00,3.00
INJ,2011-02-05 00:05,-97.0972,32.0836,-3.10,330.00,4.00
T82,2011-02-05 00:05,-98.9092,30.2432,1.70,320.00,5.00
MDD,2011-02-05 00:05,-102.1010,32.0365,4.50,300.00,6.00
RPH,2011-02-05 00:05,-98.5550,33.1100,-1.40,240.00,4.00
PVW,2011-02-05 00:05,-101.7173,34.1681,2.30,null,null
SWW,2011-02-05 00:05,-100.4666,32.4674,0.70,250.00,7.00
ORG,2011-02-05 00:05,-93.8036,30.0692,-1.00,320.00,8.00
JAS,2011-02-05 00:05,-94.0349,30.8857,-0.50,290.00,6.00
RYW,2011-02-05 00:05,-97.9659,30.4967,2.00,300.00,7.00
LUD,2011-02-05 00:05,-97.5805,33.2542,-2.80,null,null
PPA,2011-02-05 00:05,-100.9963,35.6130,2.00,null,null
LNC,2011-02-05 00:05,-96.7190,32.5792,-4.70,null,null
LHB,2011-02-05 00:05,-96.6200,30.8700,0.60,320.00,4.00
JXI,2011-02-05 00:05,-94.9500,32.7000,-2.00,280.00,5.00
PEQ,2011-02-05 00:06,-103.5100,31.3800,6.00,250.00,12.00
11R,2011-02-05 00:06,-96.3742,30.2189,1.00,320.00,4.00
SNK,2011-02-05 00:06,-100.9505,32.6934,1.20,270.00,6.00
BPG,2011-02-05 00:06,-101.5216,32.2126,5.00,270.00,8.00
JSO,2011-02-05 00:07,-95.2200,31.8700,-3.00,290.00,8.00
XBP,2011-02-05 00:08,-97.8284,33.1753,-1.20,260.00,5.00
UVA,2011-02-05 00:08,-99.7436,29.2113,5.80,290.00,6.00
PYX,2011-02-05 00:08,-100.7500,36.4140,4.30,null,null
PSN,2011-02-05 00:09,-95.7063,31.7797,-1.60,290.00,5.00
BYY,2011-02-05 00:09,-95.8634,28.9733,1.00,null,null
MNZ,2011-02-05 00:12,-98.1486,31.6659,-1.00,260.00,8.00
OCH,2011-02-05 00:15,-94.7094,31.5778,-2.00,null,null
MIU,2011-02-05 00:15,-96.7367,27.2917,6.00,320.00,24.00
APY,2011-02-05 00:15,-99.2489,26.9688,7.90,340.00,6.00
PRX,2011-02-05 00:15,-95.4507,33.6366,-4.00,280.00,7.00
MCJ,2011-02-05 00:15,-95.3950,29.7140,-1.00,null,null
EBG,2011-02-05 00:15,-98.1222,26.4417,7.20,330.00,6.00
OPM,2011-02-05 00:15,-96.9400,26.8328,6.00,310.00,15.00
BBF,2011-02-05 00:15,-96.0140,27.8330,4.00,320.00,18.00
EDC,2011-02-05 00:15,-97.5621,30.3925,2.00,300.00,7.00
HBV,2011-02-05 00:15,-98.7369,27.3496,5.00,310.00,7.00
BQX,2011-02-05 00:15,-95.7244,28.4936,2.00,320.00,15.00
SPL,2011-02-05 00:15,-97.1572,26.0706,5.00,310.00,6.00
GOP,2011-02-05 00:15,-97.7970,31.4213,1.00,290.00,6.00
VKY,2011-02-05 00:15,-88.4410,29.2480,12.00,20.00,18.00
MRF,2011-02-05 00:15,-104.0200,30.3700,-1.00,280.00,16.00
HQI,2011-02-05 00:15,-93.6708,27.9620,7.00,290.00,20.00
AXH,2011-02-05 00:15,-95.4769,29.5061,-1.00,330.00,4.00
ARM,2011-02-05 00:15,-96.1544,29.2543,1.90,null,null
ILE,2011-02-05 00:15,-97.6865,31.0858,1.00,290.00,5.00
GUL,2011-02-05 00:15,-93.5383,27.3039,9.00,0.00,null
EMK,2011-02-05 00:15,-94.3228,27.8186,10.00,310.00,22.00
T65,2011-02-05 00:15,-97.9731,26.1776,5.90,340.00,4.00
RBO,2011-02-05 00:15,-97.6905,27.7785,6.20,310.00,7.00
PWG,2011-02-05 00:15,-97.3165,31.4849,-1.00,310.00,5.00
VAF,2011-02-05 00:15,-94.6253,27.3536,7.00,null,null
TME,2011-02-05 00:15,-95.8979,29.8050,-2.00,null,null
BWD,2011-02-05 00:15,-98.9565,31.7936,0.00,240.00,5.00
TFP,2011-02-05 00:15,-97.2115,27.9130,4.70,300.00,5.00
RAS,2011-02-05 00:15,-97.0900,27.8100,4.00,0.00,null
HYI,2011-02-05 00:15,-97.8630,29.8927,3.00,330.00,7.00
LZZ,2011-02-05 00:15,-98.1959,31.1062,0.00,270.00,7.00
PKV,2011-02-05 00:15,-96.6810,28.6540,4.30,310.00,4.00
MZG,2011-02-05 00:15,-96.1911,27.7269,4.00,320.00,19.00
BKS,2011-02-05 00:15,-98.1211,27.2067,7.90,320.00,4.00
BKD,2011-02-05 00:16,-98.8910,32.7190,-1.00,250.00,5.00
RFI,2011-02-05 00:20,-94.8517,32.1417,-2.40,0.00,null
MKN,2011-02-05 00:20,-98.6000,31.9200,0.00,260.00,3.00
