station,valid,lon,lat,tmpc,drct,sknt
MKN,2011-01-28 00:00,-98.6000,31.9200,15.00,250.00,6.00
GVT,2011-01-28 00:00,-96.0653,33.0678,13.00,220.00,3.00
BKD,2011-01-28 00:00,-98.8910,32.7190,15.40,240.00,6.00
RFI,2011-01-28 00:00,-94.8517,32.1417,13.10,220.00,3.00
ARM,2011-01-28 00:02,-96.1544,29.2543,15.10,190.00,5.00
OZA,2011-01-28 00:02,-101.2030,30.7353,14.60,310.00,3.00
6R3,2011-01-28 00:03,-95.0080,30.3564,13.10,null,null
COM,2011-01-28 00:03,-99.4036,31.8411,14.60,260.00,4.00
GLE,2011-01-28 00:03,-97.1969,33.6514,14.00,240.00,4.00
3T5,2011-01-28 00:03,-96.9500,29.9100,13.40,null,null
LBR,2011-01-28 00:04,-95.0636,33.5932,13.50,220.00,3.00
F05,2011-01-28 00:04,-99.2837,34.2257,15.60,350.00,4.00
HRX,2011-01-28 00:04,-102.3264,34.8578,12.70,310.00,5.00
T82,2011-01-28 00:05,-98.9092,30.2432,14.90,null,null
JAS,2011-01-28 00:05,-94.0349,30.8857,14.80,null,null
JDD,2011-01-28 00:05,-95.4965,32.7422,13.00,null,null
BPC,2011-01-28 00:05,-101.0301,35.8893,12.00,330.00,4.00
LHB,2011-01-28 00:05,-96.6200,30.8700,15.90,260.00,3.00
CWC,2011-01-28 00:05,-98.4904,33.8578,17.30,260.00,3.00
TFP,2011-01-28 00:05,-97.2115,27.9130,13.60,150.00,5.00
AXH,2011-01-28 00:05,-95.4769,29.5061,14.80,null,null
GOP,2011-01-28 00:05,-97.7970,31.4213,15.00,250.00,5.00
SLR,2011-01-28 00:05,-95.6200,33.1600,12.20,230.00,4.00
CVB,2011-01-28 00:05,-98.8509,29.3419,16.50,230.00,4.00
DZB,2011-01-28 00:05,-98.3588,30.5271,15.50,240.00,4.00
GDJ,2011-01-28 00:05,-97.8169,32.4444,16.40,220.00,4.00
LUD,2011-01-28 00:05,-97.5805,33.2542,15.10,240.00,5.00
PVW,2011-01-28 00:05,-101.7173,34.1681,13.00,350.00,6.00
BEA,2011-01-28 00:05,-97.7910,28.3619,17.00,330.00,4.00
ECU,2011-01-28 00:05,-100.1739,29.9469,14.00,290.00,4.00
SWW,2011-01-28 00:05,-100.4666,32.4674,14.30,230.00,5.00
RPH,2011-01-28 00:05,-98.5550,33.1100,15.00,230.00,4.00
11R,2011-01-28 00:05,-96.3742,30.2189,17.00,280.00,3.00
GYB,2011-01-28 00:05,-96.9800,30.1700,17.00,null,null
ERV,2011-01-28 00:05,-99.0855,29.9767,16.20,280.00,4.00
